,track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time,matchlink
26496843,12410,Motorcycle,124.05,6.828713,37.976115,23.736476,37.2664,0.4565,-0.1376,196.12,"(6220792258, 954712407)"
26496903,12410,Motorcycle,124.05,6.828713,37.976142,23.736213,29.5571,-2.3546,-0.4976,198.52,"(6220792258, 954712407)"
26497143,12410,Motorcycle,124.05,6.828713,37.976133,23.735966,0.0053,0.0057,0.0,208.12,"(954712407, 2511789008)"
26497203,12410,Motorcycle,124.05,6.828713,37.976133,23.735966,0.0,0.0,0.0,210.52,"(954712407, 2511789008)"
26497443,12410,Motorcycle,124.05,6.828713,37.976133,23.735966,0.0,0.0,0.0,220.12,"(954712407, 2511789008)"
26497503,12410,Motorcycle,124.05,6.828713,37.976133,23.735966,0.0,0.0,0.0,222.52,"(954712407, 2511789008)"
26497743,12410,Motorcycle,124.05,6.828713,37.976133,23.735966,0.0,0.0,0.0,232.12,"(954712407, 2511789008)"
26497803,12410,Motorcycle,124.05,6.828713,37.976133,23.735966,0.0,0.0,0.0,234.52,"(954712407, 2511789008)"
26498043,12410,Motorcycle,124.05,6.828713,37.976133,23.735966,0.0,0.0,0.0,244.12,"(954712407, 2511789008)"
26498103,12410,Motorcycle,124.05,6.828713,37.976133,23.735966,0.0,0.0,0.0,246.52,"(954712407, 2511789008)"
26498343,12410,Motorcycle,124.05,6.828713,37.976033,23.735685,27.6008,-1.1618,-3.6126,256.12,"(954712407, 2511789008)"
26498463,12410,Motorcycle,124.05,6.828713,37.975647,23.735588,43.6329,3.4262,-0.1921,260.92,"(2511789008, 7384331753)"
26498478,12410,Motorcycle,124.05,6.828713,37.975577,23.735575,47.5227,4.5286,-0.3826,261.52,"(7384331753, 42240105)"
