node_id,x_coord,y_coord
31179466,270.08,1261.24
31179468,45.57,1091.22
42240105,944.78,41.14
95663375,115.96,1143.43
95663376,203.82,1126.32
95663377,191.34,1063.94
95663385,314.13,1104.82
95663386,302.21,1043.19
95663389,127.19,1075.94
95663392,483.87,1417.1
95663394,518.76,1592.98
95663395,283.94,1639.07
95663398,384.29,1467.31
95663400,489.89,1447.4
95663402,516.97,1442.3
95663418,184.28,1194.1
95663420,430.67,1148.27
95663422,418.08,1084.57
95663423,406.06,1023.75
95663426,337.94,1227.94
95663433,349.5,1287.74
95663454,454.17,1267.11
95663461,355.91,1320.86
95663463,360.62,1345.17
95663464,383.65,1340.77
95663467,465.63,1325.1
95663472,269.58,1362.57
95663474,201.12,1340.88
95663490,128.74,1444.53
95663492,215.79,1188.16
95663493,139.22,1138.9
95663499,185.96,1310.2
95663501,161.32,1265.97
95663502,128.2,1203.63
95663504,102.75,1145.72
95663524,101.85,1279.15
95663527,221.75,1221.89
95663529,398.62,1541.25
95663543,412.68,1613.85
95663544,333.88,1554.09
95663545,279.01,1561.51
95663598,347.92,1626.51
95663631,504.32,1520.18
97788192,571.31,1244.04
97788195,581.9,1302.88
97788202,634.48,1529.48
97788210,642.4,1568.72
97788213,602.21,1426.22
97788216,630.42,1571.07
97788219,880.16,1518.7
97788305,827.61,1255.91
97788324,793.57,1199.52
97788403,870.16,1182.52
97788471,546.55,1744.19
97788477,659.71,1721.51
97788567,804.05,1260.42
97788574,739.06,1272.84
97788586,662.21,1287.53
97788594,638.7,1167.08
97788686,714.07,1150.49
97788769,933.7,1508.48
97788848,974.82,1501.15
97788855,1015.35,1493.41
97788862,905.99,1363.56
97788867,947.91,1356.01
97788871,988.52,1347.76
97788957,883.06,1245.32
97788965,924.16,1237.47
97789005,966.71,1229.34
97789076,920.09,1437.21
97789081,961.7,1429.5
97789184,1002.19,1421.98
97789191,866.45,1448.77
97792969,1052.69,1484.87
97792973,1084.85,1478.59
97793030,1071.59,1407.57
97793131,1056.81,1334.27
97797051,899.09,1617.01
97797081,953.53,1605.65
97797086,994.65,1597.08
97797090,853.16,1626.59
97797093,807.8,1636.06
97797098,743.51,1649.47
97797102,662.11,1666.45
97797184,724.64,1552.58
97797186,797.87,1586.22
97797191,788.65,1540.02
97797196,733.64,1598.79
97797197,834.36,1531.04
97834412,204.4,1644.32
97834501,119.4,1649.93
97834545,197.9,1554.75
97834619,114.18,1548.67
97834697,193.08,1478.09
97834703,111.97,1473.44
97834704,66.93,1558.05
97834706,48.6,1595.38
97834757,273.96,1475.7
97834761,249.87,1246.03
97834765,111.85,1325.84
97834824,121.61,1372.55
97834829,134.93,1435.55
97834834,186.87,1358.07
97834909,27.86,1393.26
97835127,17.15,1346.77
97839355,38.64,1440.04
97839357,41.47,1452.35
97839360,49.36,1486.69
97839373,120.16,1458.89
97839394,63.29,1547.03
97846023,223.02,97.81
97846073,320.54,581.46
97846082,213.81,602.64
97846083,155.25,614.26
97846085,237.73,716.7
97846089,251.44,784.75
97846091,356.08,765.39
97846093,232.89,694.99
97846094,280.75,685.75
97846098,299.62,775.83
97846101,261.35,593.21
98303817,87.46,1211.1
98303820,0.67,1728.84
