node_id,x_coord,y_coord
31179466,2641242.16,4577613.86
31179468,2640957.00,4577397.91
42240105,2642099.02,4576064.19
95663375,2641046.41,4577464.22
95663376,2641158.00,4577442.48
95663377,2641142.15,4577363.25
95663385,2641298.11,4577415.18
95663386,2641282.97,4577336.89
95663389,2641060.67,4577378.50
95663392,2641513.71,4577811.84
95663394,2641558.03,4578035.25
95663395,2641259.77,4578093.80
95663398,2641387.23,4577875.61
95663400,2641521.35,4577850.33
95663402,2641555.75,4577843.85
95663418,2641133.19,4577528.58
95663420,2641446.13,4577470.36
95663422,2641430.13,4577389.46
95663423,2641414.87,4577312.20
95663426,2641328.35,4577571.56
95663433,2641343.04,4577647.52
95663454,2641475.97,4577621.32
95663461,2641351.17,4577689.60
95663463,2641357.16,4577720.47
95663464,2641386.41,4577714.88
95663467,2641490.53,4577694.98
95663472,2641241.52,4577742.58
95663474,2641154.57,4577715.02
95663490,2641062.64,4577846.69
95663492,2641173.21,4577521.04
95663493,2641075.95,4577458.47
95663499,2641135.31,4577676.05
95663501,2641104.02,4577619.86
95663502,2641061.95,4577540.68
95663504,2641029.63,4577467.13
95663524,2641028.49,4577636.62
95663527,2641180.78,4577563.88
95663529,2641405.43,4577969.54
95663543,2641423.30,4578061.76
95663544,2641323.20,4577985.86
95663545,2641253.51,4577995.28
95663598,2641341.03,4578077.85
95663631,2641539.68,4577942.78
97788192,2641624.76,4577592.01
97788195,2641638.21,4577666.76
97788202,2641705.00,4577954.58
97788210,2641715.07,4578004.43
97788213,2641664.01,4577823.42
97788216,2641699.85,4578007.43
97788219,2642017.05,4577940.90
97788305,2641950.30,4577607.10
97788324,2641907.06,4577535.46
97788403,2642004.33,4577513.88
97788471,2641593.34,4578227.34
97788477,2641737.06,4578198.52
97788567,2641920.37,4577612.82
97788574,2641837.82,4577628.59
97788586,2641740.21,4577647.25
97788594,2641710.35,4577494.26
97788686,2641806.08,4577473.19
97788769,2642085.06,4577927.92
97788848,2642137.28,4577918.61
97788855,2642188.76,4577908.78
97788862,2642049.85,4577743.83
97788867,2642103.09,4577734.24
97788871,2642154.68,4577723.76
97788957,2642020.72,4577593.64
97788965,2642072.92,4577583.66
97789005,2642126.96,4577573.34
97789076,2642067.76,4577837.38
97789081,2642120.61,4577827.59
97789184,2642172.04,4577818.04
97789191,2641999.63,4577852.07
97792969,2642236.19,4577897.93
97792973,2642277.03,4577889.95
97793030,2642260.19,4577799.74
97793131,2642241.41,4577706.63
97797051,2642041.11,4578065.77
97797081,2642110.25,4578051.35
97797086,2642162.48,4578040.46
97797090,2641982.77,4578077.95
97797093,2641925.15,4578089.97
97797098,2641843.50,4578107.00
97797102,2641740.10,4578128.57
97797184,2641819.53,4577983.94
97797186,2641912.54,4578026.66
97797191,2641900.82,4577967.97
97797196,2641830.96,4578042.64
97797197,2641958.88,4577956.58
97834412,2641158.75,4578100.47
97834501,2641050.79,4578107.60
97834545,2641150.49,4577986.69
97834619,2641044.15,4577978.96
97834697,2641144.36,4577889.31
97834703,2641041.35,4577883.41
97834704,2640984.14,4577990.89
97834706,2640960.85,4578038.30
97834757,2641247.09,4577886.28
97834761,2641216.49,4577594.54
97834765,2641041.19,4577695.92
97834824,2641053.58,4577755.25
97834829,2641070.50,4577835.27
97834834,2641136.47,4577736.86
97834909,2640934.52,4577781.56
97835127,2640920.91,4577722.51
97839355,2640948.21,4577840.98
97839357,2640951.80,4577856.62
97839360,2640961.82,4577900.23
97839373,2641051.75,4577864.92
97839394,2640979.51,4577976.89
97846023,2641182.37,4576136.15
97846073,2641306.23,4576750.43
97846082,2641170.68,4576777.33
97846083,2641096.31,4576792.09
97846085,2641201.06,4576922.20
97846089,2641218.48,4577008.63
97846091,2641351.37,4576984.04
97846093,2641194.91,4576894.63
97846094,2641255.69,4576882.89
97846098,2641279.67,4576997.30
97846101,2641231.06,4576765.36
98303817,2641010.21,4577550.18
98303820,2640899.98,4578207.83
98303843,2641056.37,4578192.02
98303844,2641059.04,4578231.39
98303847,2641063.05,4578299.29
98303850,2640980.45,4578303.10
98303855,2640975.78,4578112.54
98303856,2640977.83,4578193.76
98303893,2641172.49,4578294.25
98303894,2641272.18,4578289.65
98303897,2641267.28,4578213.46
98303933,2641169.76,4578223.48
250663674,2641008.50,4576809.52
250663742,2640992.71,4577048.51
250663743,2641011.18,4577135.67
250663746,2641086.78,4577119.36
250663757,2640928.62,4577155.92
250663835,2640902.49,4576999.42
250691272,2641996.64,4576085.67
250691278,2641853.61,4576109.36
250691664,2641634.37,4576835.75
250691665,2641707.20,4576730.05
250691666,2641788.10,4576608.68
250691668,2641914.18,4576417.46
250691669,2641970.41,4576329.64
250691670,2642026.43,4576247.75
250691723,2642154.07,4576331.62
250691724,2642097.83,4576415.66
250691739,2642414.14,4576324.77
250691741,2642530.56,4576401.82
250691752,2642551.60,4576592.75
250691753,2642450.87,4576526.55
250691755,2642333.61,4576449.54
250691793,2642464.08,4576249.40
250691794,2642449.23,4576272.14
250691827,2642262.05,4576106.58
250691847,2642254.58,4576028.69
250692062,2642519.05,4576286.34
250692359,2642382.30,4576374.88
250692418,2642549.22,4576017.81
250698924,2642036.76,4576506.94
250698926,2641866.58,4576757.48
250699030,2642425.55,4576785.07
250699359,2642093.75,4576818.49
250699362,2641971.23,4577011.68
250699613,2642055.77,4576880.66
250699615,2642275.97,4577018.94
250699616,2642354.99,4577068.87
250699711,2642133.81,4577023.77
250699928,2642500.86,4576839.00
250699972,2642313.92,4576960.22
250699973,2642230.36,4577086.00
250699975,2642392.14,4577010.30
250699976,2642459.21,4577053.74
250699980,2642310.94,4577138.27
250699982,2641830.42,4576811.65
250699983,2641779.76,4576885.31
250699984,2641868.19,4576942.82
