link_id,u_node_id,v_node_id,length
0,77,250714051,26.74793477
1,250714051,250700142,114.8712686
2,250700142,78,45.10344556
3,61,363357735,58.49904124
4,363357735,250700142,41.62542066
5,7214467394,363357735,201.608068
6,363357735,61,58.49904124
7,43,250720871,36.90468521
8,250720871,250720872,113.8567997
9,250720872,250720873,63.86282472
10,42,95663386,16.75323037
11,95663386,250720871,100.4557395
12,250714051,262236447,115.4609339
13,262236447,250720871,122.5760202
14,95,250700248,55.16756269
15,250700248,250714051,123.9480464
16,60,262236447,44.91017042
17,76,250714050,33.91881812
18,250714050,250714051,164.8913697
19,121,358464040,38.18711425
20,358464040,358464027,54.21923994
21,358464027,358464018,43.89730791
22,358464018,358464012,38.77978744
23,358464012,635444052,184.2201843
24,104,358464212,11.53533127
25,358464212,358464049,65.90437571
26,358464049,358464040,92.63343284
27,250700142,250700344,38.48412235
28,250700344,250691664,127.5701803
29,250691664,250702474,117.2398339
30,250702474,96,47.02420229
31,250700344,250700248,118.360321
32,250700248,95,55.16756269
33,250691664,250691665,101.1719119
34,250691665,250691666,114.9752558
35,250691666,250709582,91.94261392
36,250709582,250691668,88.59839275
37,250691668,250698924,119.6229305
38,250698924,132,48.80978528
39,88,97788216,51.11005435
40,97788216,597677303,52.4182905
41,597677303,961530639,33.7613297
42,961530639,97788213,61.56065486
43,97788213,97788195,125.1391758
44,97788195,97788192,59.85601934
45,97788192,516020524,63.0138308
46,516020524,250714052,57.11931855
47,250714052,3731648988,79.5545712
48,3731648988,250713539,89.38594951
49,250713539,250700085,56.63684809
50,250700085,250700084,77.52451123
51,250700084,250700083,115.1316881
52,250700083,250699362,50.26310576
53,250699362,129,41.94708094
54,130,250699613,26.99350112
55,250699613,250698926,177.9426622
56,250698926,250699982,51.3436057
57,250699982,250699983,70.45567529
58,250699983,250702474,28.09602146
59,250702474,250700248,133.9290936
60,262236447,95663423,69.8472054
61,95663423,95663422,62.06852679
62,95663422,95663420,64.9983428
63,95663420,58,17.48043022
64,138,631608665,62.68398355
65,631608665,625958232,136.95663
66,625958232,516020343,100.1262291
67,516020343,358464177,53.58528667
68,358464177,516020362,47.97410155
69,516020362,5581434217,39.55354311
70,5581434217,6910572379,13.43957454
71,6910572379,5581434215,13.06814014
72,5581434215,97788477,44.54909319
73,97788477,97788471,115.5238165
74,97788471,70,16.98668388
75,121,625958232,35.9650705
76,87,5921003579,41.44916514
77,5921003579,4056070360,50.66441937
78,4056070360,358464212,31.97130957
79,87,515962403,29.00499181
80,515962403,4056070360,67.64615554
81,113,250699982,55.93634968
82,95663420,962356679,58.84789713
83,962356679,95663454,62.43332054
84,95663454,95663467,59.17653532
85,95663467,95663392,93.89960864
86,95663392,95663400,30.92579855
87,95663400,95663631,74.27764703
88,95663631,95663394,74.30117486
89,95663394,635126483,113.8067278
90,635126483,70,32.71255641
91,96,250702474,47.02420229
92,95663467,962356840,59.72148215
93,962356840,95663464,23.83177604
94,95663464,95663463,23.46585784
95,95663463,95663472,92.78956499
96,95663472,39,32.37322768
97,132,250698924,48.80978528
98,250698924,250698926,238.7276869
99,138,358464012,68.20627268
100,358464012,569850326,101.2036024
101,104,358464174,69.93257169
102,358464174,358464166,92.97677179
103,358464166,122,55.8962869
104,122,358464166,55.8962869
105,358464166,358464040,48.33566288
106,358465186,6910572379,28.95917597
107,5581434215,5921003579,13.3762467
108,97788219,97797051,100.2270841
109,97797051,358464166,53.11952419
110,250714051,77,26.74793477
111,40,95663433,59.22124298
112,95663433,95663454,106.7900234
113,95663454,97788192,119.5216643
114,97788192,6356544246,80.9574104
115,6356544246,6356544245,77.78338734
116,40,3879024939,38.25706706
